Attendance_%,QuizScore_%,StudyHours_PerDay,PerformanceScore
73,50,5,68.72
50,97,1,62.64
48,88,8,87.85
54,97,7,91.17
62,72,7,80.61
90,46,6,80.36
57,68,2,58.1
90,72,5,85.55
87,83,5,87.59
43,78,3,60.96
65,82,7,86.58
91,40,1,58.62
41,40,6,57.96
69,81,1,61.18
49,89,1,60.62
81,78,3,77.28
65,54,7,77.99
55,35,8,67.31
60,76,5,76.45
80,96,2,76.45
71,85,1,66.42
65,49,2,56.43
76,58,4,71.42
95,67,6,86.08
85,56,5,74.99
95,47,3,69.53
95,67,6,89.11
68,44,2,50.18
80,54,7,82.47
69,37,3,53.35
42,76,8,81.64
90,52,7,85.64
82,64,6,79.86
93,83,7,97.82
54,91,3,69.27
81,37,5,66.44
77,77,4,78.06
84,76,4,78.51
42,84,6,75.18
47,63,8,75.1
84,38,3,61.91
89,55,7,84.24
59,53,2,53.73
68,59,7,75.93
75,73,2,64.85
65,69,4,69.93
49,59,4,57.82
76,59,2,59.23
48,96,4,73.86
48,87,8,88.71
80,70,1,64.17
71,51,6,70.16
68,98,2,73.32
67,97,3,76.07
51,47,8,71.08
63,74,5,74.27
40,43,4,50.6
59,78,8,89.12
78,97,3,80.83
56,54,8,75.8
89,70,7,89.85
60,99,4,82.07
81,85,4,84.46
91,43,6,79.46
52,54,8,72.85
41,94,4,71.05
86,83,7,98.42
96,96,6,99.5
41,40,8,66.01
77,42,3,57.28
88,47,7,80.67
78,74,3,70.15
95,65,3,77.1
83,54,1,60.86
84,40,7,75.54
52,55,8,77.63
40,96,2,63.15
51,91,4,72.37
52,60,6,68.84
66,74,3,70.72
49,85,7,79.32
66,48,1,50.7
49,91,8,88.09
86,88,8,99.95
60,75,4,69.85
47,63,8,74.84
59,89,1,61.26
62,52,4,64.34
85,78,6,88.57
56,74,4,69.35
72,67,5,77.87
90,83,3,82.05
86,94,7,99.86
61,82,3,71.45
81,70,1,61.61
76,71,8,88.94
97,69,4,80.34
54,74,5,73.23
72,54,4,65.64
85,68,7,91.56
85,62,8,88.86
81,81,3,79.19
49,61,7,72.66
63,76,7,82.52
67,51,2,52.22
55,79,2,61.55
78,68,3,69.56
64,91,7,89.91
47,96,7,82.94
60,47,6,68.72
68,82,7,89.33
64,38,5,61.14
89,55,1,64.37
46,55,5,60.75
67,66,1,55.71
83,87,3,78.19
88,73,7,93.01
50,61,7,71.37
76,56,6,79.31
78,76,8,93.21
56,48,2,51.44
68,53,1,54.65
42,96,5,75.09
83,75,3,77.59
64,37,5,61.55
83,55,1,58.88
87,93,1,73.16
67,84,1,64.22
89,54,4,73.37
76,43,5,68.24
57,97,1,68.44
71,71,8,89.17
66,69,3,68.14
71,49,7,77.85
61,96,8,92.54
47,47,2,44.73
63,78,4,70.01
72,90,5,82.57
84,98,1,75.2
48,66,6,71.91
61,43,8,73.34
62,41,2,47.93
85,66,6,85.67
98,87,1,76.58
93,41,3,67.66
89,90,4,87.22
42,96,5,77.41
45,96,4,73.31
50,49,3,51.57
90,85,8,101.3
79,53,1,54.81
92,75,7,96.82
58,50,8,74.5
56,62,8,82.01
68,99,3,79.08
89,64,7,89.43
92,65,5,83.82
72,48,1,52.26
44,43,2,44.33
84,71,7,91.76
97,39,6,80.67
59,59,7,77.74
90,81,8,98.88
98,67,4,81.97
100,55,5,82.7
73,56,1,55.19
70,56,1,53.57
94,66,7,91.89
56,93,6,81.57
92,51,5,77.08
79,68,4,72.32
86,68,5,81.74
56,44,6,61.48
55,96,5,82.75
51,86,5,75.07
47,59,1,46.27
49,100,5,82.24
51,56,2,52.03
48,63,7,70.6
56,92,1,61.03
89,62,8,95.06
50,70,5,69.84
99,84,7,103.01
49,35,8,67.43
89,44,1,56.52
57,44,2,50.83
71,75,2,65.17
75,43,8,80.08
62,45,5,65.25
45,69,5,68.18
90,53,5,75.15
85,62,8,89.61
49,74,7,76.21
55,47,6,65.12
69,92,8,99.15
74,48,6,75.43
53,95,8,94.12
87,45,7,78.42
84,76,1,67.54
65,49,4,59.68
72,55,5,68.99
58,53,2,55.2
82,76,2,70.23
86,43,6,76.95
75,77,8,94.03
90,59,3,74.31
95,39,8,84.2
80,42,4,65.31
43,73,4,61.28
64,51,4,63.47
40,87,2,56.19
74,68,1,60.96
88,54,7,86.42
96,38,6,77.02
48,37,3,43.64
44,49,2,42.52
89,45,6,79.29
84,73,5,84.75
58,91,2,65.79
49,60,6,66.78
99,68,2,75.24
54,44,7,65.46
44,82,6,75.21
50,44,3,46.82
73,84,7,90.62
99,83,4,87.18
90,88,3,84.12
56,43,2,45.97
89,87,2,76.47
66,48,6,72.22
84,49,8,83.45
54,100,8,96.49
84,93,7,98.54
46,54,8,69.65
96,52,3,71.56
100,100,3,92.52
82,37,7,76.1
99,35,5,71.88
87,50,1,61.6
93,80,7,97.04
51,39,7,63.97
59,65,2,59.87
70,47,2,55.1
88,55,2,65.69
63,72,8,85.29
97,46,1,61.85
98,93,8,108.04
61,50,4,59.1
92,92,4,88.76
51,88,1,57.86
71,92,3,79.34
42,68,2,53.42
95,78,8,99.62
51,79,8,82.46
41,69,3,55.71
100,54,7,89.91
100,37,2,62.87
54,56,6,68.61
64,42,5,59.62
100,58,2,71.5
57,82,5,74.51
85,48,4,71.49
73,47,8,79.95
86,60,5,75.53
60,40,5,61.17
48,59,4,61.21
100,69,6,92.16
66,95,8,94.39
76,78,8,92.03
86,43,7,79.29
53,98,7,89.27
47,37,3,46.43
82,67,4,78.13
41,78,4,64.69
41,88,7,76.9
92,61,7,91.34
83,82,7,91.73
99,50,8,90.95
74,50,8,83.82
71,75,7,87.98
60,56,6,71.62
44,69,8,75.06
85,64,3,70.61
64,61,1,52.62
76,61,1,57.26
77,62,5,78.58
44,61,2,50.68
68,56,7,77.38
100,92,7,102.19
51,83,5,73.36
97,51,1,63.62
80,77,3,73.53
88,52,1,58.63
53,48,1,46.29
75,99,6,92.11
40,68,3,52.29
60,94,2,70.45
49,56,4,60.27
73,42,8,79.63
82,60,4,74.09
93,65,3,76.67
52,45,5,61.14
80,37,2,55.44
64,54,8,82.01
50,50,5,61.89
51,88,3,66.96
48,70,5,69.0
74,90,1,69.68
96,40,3,65.8
86,57,5,75.81
52,88,4,70.53
57,63,3,62.81
76,83,8,93.88
76,74,6,81.27
44,52,4,57.32
41,79,6,71.95
76,50,7,79.34
81,86,6,91.09
55,62,1,53.08
96,69,6,87.08
50,63,5,63.72
75,57,2,61.68
84,77,8,94.16
60,70,1,54.44
42,93,3,68.57
60,67,3,62.59
55,50,6,67.19
85,62,4,73.38
68,62,7,82.46
96,63,5,82.34
94,75,7,92.9
46,99,3,71.55
72,68,2,64.47
86,82,1,72.05
67,85,2,66.64
42,49,3,46.42
71,58,6,73.74
41,52,1,38.65
77,67,4,74.07
100,52,5,80.28
67,48,6,69.63
79,53,6,74.41
91,65,4,79.4
54,50,2,52.44
79,54,7,80.21
50,55,2,49.92
79,49,7,79.62
97,70,8,98.5
82,54,2,62.33
83,42,8,84.67
51,62,8,77.44
90,43,6,74.77
83,71,8,96.09
59,45,5,60.9
46,58,6,62.93
82,85,7,95.75
42,38,4,48.55
78,48,7,78.25
62,95,8,95.37
63,77,1,58.8
83,99,5,93.43
98,67,7,93.95
54,97,4,79.28
44,61,2,50.87
52,92,5,78.62
84,58,8,86.47
97,56,2,68.03
73,95,6,89.84
93,86,2,81.91
63,59,5,66.57
45,45,1,42.13
57,45,7,70.88
83,85,1,70.2
97,53,4,76.51
80,77,4,78.11
85,79,3,77.53
73,84,8,96.75
78,100,2,78.42
43,53,7,64.01
42,66,1,48.27
73,65,3,67.07
80,90,8,101.27
70,50,2,53.96
51,46,5,58.55
96,53,8,90.45
78,53,4,70.19
70,73,3,68.06
90,63,4,77.27
100,37,4,69.38
70,82,4,76.08
100,90,3,85.19
65,37,2,49.17
94,74,3,82.06
55,41,8,69.05
73,84,4,81.1
97,56,1,64.31
67,59,6,77.32
69,50,8,78.96
62,77,4,69.16
64,90,7,86.99
44,39,8,66.99
53,49,8,75.72
68,54,3,58.69
85,83,5,86.92
81,62,5,76.23
82,76,7,93.81
57,86,7,85.85
60,94,8,94.32
54,62,6,68.43
77,67,7,83.27
87,68,8,96.23
45,88,6,76.55
49,98,1,64.71
61,88,3,73.41
62,59,5,70.81
55,82,3,64.99
50,45,3,49.39
58,43,6,66.68
52,62,2,51.66
92,77,5,85.68
77,79,7,90.01
58,43,7,68.35
46,41,2,43.08
65,95,4,77.26
44,38,6,53.88
58,55,1,50.15
70,94,2,72.21
74,36,6,69.22
49,95,4,73.73
69,78,8,90.23
99,78,5,88.94
73,75,1,64.3
42,100,4,70.47
76,67,4,73.41
49,95,7,84.58
52,58,7,74.48
91,93,7,99.4
50,88,7,81.78
94,58,1,66.21
76,97,4,82.51
94,46,3,65.84
60,84,1,61.27
93,40,2,61.58
50,41,1,42.71
88,96,5,90.93
66,43,3,56.66
80,48,1,57.67
59,62,8,81.79
74,63,1,58.07
90,87,5,88.33
96,83,3,81.2
55,89,1,60.72
64,76,1,60.01
85,51,6,77.25
85,81,8,98.42
49,79,7,80.79
85,96,3,84.34
93,76,5,86.77
44,77,1,50.58
80,37,6,69.67
86,79,7,94.64
93,47,8,87.58
79,83,3,78.15
85,86,4,85.36
67,92,7,92.25
72,96,2,74.82
87,98,1,79.96
45,95,8,86.65
62,57,6,70.26
52,91,2,65.74
58,50,2,49.84
98,37,4,68.7
76,67,2,62.59
74,57,1,56.07
86,57,5,76.41
74,63,1,57.15
59,77,3,65.98
92,78,8,99.76
42,68,3,56.49
98,53,8,90.64
74,82,1,65.74
41,46,2,42.31
81,65,5,79.84
80,95,1,73.78
46,83,7,79.3
71,65,1,61.04
91,100,2,82.86
95,56,4,78.13
55,63,8,78.36
51,96,3,71.41
55,92,5,79.3
75,77,7,85.87
49,46,6,62.3
98,66,6,87.1
56,87,6,78.93
55,39,4,52.39
92,39,2,62.96
53,78,8,87.18
42,74,1,51.81
79,64,2,66.12
53,36,3,50.22
58,52,3,53.39
47,47,6,64.46
65,89,2,67.82
43,60,6,64.09
98,60,2,70.17
68,49,7,77.52
64,84,6,84.54
47,94,1,63.23
48,52,5,57.21
64,66,4,65.32
82,68,6,82.43
93,75,4,82.19
58,70,1,55.85
91,53,5,75.44
70,48,4,64.43
69,45,5,66.45
100,39,4,70.28
74,40,4,63.78
73,73,4,74.95
92,73,7,92.73
95,87,1,74.97
85,87,1,73.75
52,97,5,78.44
58,52,4,60.45
86,96,8,102.27
82,49,8,84.34
59,83,8,88.02
82,100,4,87.47
48,37,6,57.83
87,44,2,61.41
54,71,1,55.13
62,93,1,65.49
55,53,2,53.48
65,66,4,68.88
55,66,6,71.57
99,83,1,78.99
58,90,8,89.3
100,41,3,67.03
89,39,1,56.84
70,36,6,68.75
76,43,5,64.73
55,63,3,59.52
46,90,2,60.83
96,81,6,93.62
75,99,2,77.4
98,54,7,88.37
79,49,1,56.82
42,98,2,64.48
82,56,4,68.91
79,99,3,84.87
65,88,4,80.18
69,58,2,57.23
50,49,8,73.93
86,70,4,80.19
84,42,1,56.6
67,51,6,71.32
94,96,3,90.36
82,90,6,92.97
92,36,7,78.23
94,42,1,59.52
49,97,5,76.52
57,37,2,44.91
70,99,8,98.3
54,56,6,65.34
84,50,8,86.09
40,72,5,65.99
44,36,6,55.56
58,76,4,66.61
63,76,2,61.53
69,58,2,56.06
67,57,8,83.3
79,41,6,71.32
92,36,4,68.01
78,70,6,80.82
57,94,7,89.37
74,54,3,60.81
75,76,7,86.26
98,36,4,71.2
94,82,1,72.75
81,92,2,74.68
73,71,3,68.54
67,67,1,56.87
88,38,4,64.2
62,92,5,79.9
73,84,5,85.29
81,78,3,78.38
70,76,5,80.55
93,53,2,65.34
73,74,2,69.67
87,67,6,83.15
79,93,3,80.66
76,98,6,95.84
99,97,6,101.85
96,62,7,91.8
42,75,5,69.58
44,37,7,59.61
84,39,7,80.18
41,65,3,51.98
87,41,3,63.85
56,36,6,59.55
83,92,1,71.15
99,40,1,60.19
85,91,6,94.4
77,84,1,71.21
46,74,1,51.66
42,44,5,56.73
65,62,8,83.21
42,35,1,36.67
43,53,7,69.4
78,59,3,69.52
61,78,8,84.76
85,42,2,56.56
44,97,4,73.12
66,40,8,76.72
58,36,7,67.0
77,87,1,68.41
82,88,6,90.96
56,84,8,87.65
53,99,8,89.96
95,82,5,90.35
90,60,7,87.5
100,63,5,85.37
60,81,6,81.38
97,85,8,105.82
84,74,4,81.05
89,35,2,56.53
60,83,3,70.18
56,37,4,54.44
73,55,8,84.69
86,59,7,86.82
47,76,7,75.57
77,71,5,79.97
90,60,4,73.47
57,91,5,77.08
74,38,1,47.07
97,48,4,71.48
86,48,8,83.51
59,39,4,56.38
88,57,6,81.09
61,78,4,71.12
81,91,6,90.07
73,84,3,74.11
83,76,5,83.53
100,39,1,58.76
47,39,2,42.28
52,91,4,73.83
89,41,5,72.87
83,65,7,84.4
93,90,7,103.83
57,95,7,86.23
96,67,2,76.14
78,51,2,62.55
99,91,7,105.81
99,67,4,82.75
47,86,1,57.09
90,45,2,61.55
81,52,5,72.28
66,94,5,85.34
75,94,4,84.01
94,79,4,87.16
53,57,3,57.47
51,93,2,67.39
45,68,8,79.82
91,36,7,79.74
92,71,1,71.18
85,45,8,81.74
62,38,4,53.38
49,94,4,75.14
95,68,4,82.32
74,63,1,56.97
74,99,1,73.54
95,62,3,72.49
52,93,6,80.87
87,90,8,100.13
77,75,5,79.89
98,39,8,87.12
40,38,6,53.1
77,57,7,78.66
98,37,8,88.33
42,38,6,58.47
76,97,5,89.77
64,97,6,86.28
98,79,6,93.46
77,49,8,81.02
78,76,7,88.18
79,59,7,80.75
92,50,4,71.44
89,89,8,105.94
86,47,1,54.66
92,88,3,84.27
53,59,8,75.5
77,46,3,62.91
47,56,3,53.93
72,71,2,64.74
40,43,2,43.16
92,80,2,77.97
82,55,4,67.96
48,54,6,64.78
67,94,1,68.13
56,92,4,76.62
49,66,8,76.63
40,55,8,68.34
64,43,6,69.45
96,90,5,93.86
61,36,2,47.58
81,36,8,78.92
72,63,1,56.09
84,46,2,59.21
56,68,7,75.74
93,72,4,79.46
62,53,5,66.21
88,47,6,79.81
56,70,8,80.14
69,83,1,62.54
62,75,5,75.69
52,46,7,68.86
91,68,4,77.92
82,71,4,79.9
80,60,8,87.84
99,48,6,85.35
81,80,6,87.77
60,89,7,90.13
43,82,5,71.55
88,73,3,74.79
56,61,2,57.76
71,92,5,83.28
73,60,8,83.81
86,70,4,76.75
65,69,3,65.62
92,47,4,70.28
85,63,1,61.53
89,51,5,76.79
44,78,2,58.9
71,91,3,74.04
55,49,4,60.48
83,43,3,64.21
70,77,2,64.71
59,42,4,57.01
58,59,6,70.97
100,62,1,71.67
75,38,7,75.14
60,42,2,50.46
95,52,1,60.69
56,54,4,57.73
57,91,5,79.66
62,35,5,59.96
50,99,4,75.18
97,62,6,86.48
77,35,2,50.76
76,64,2,66.9
66,99,2,72.72
43,61,8,74.45
49,90,1,58.93
71,68,1,59.95
84,71,2,67.55
70,58,8,83.46
46,75,4,65.24
75,94,8,99.35
53,40,7,65.11
94,97,8,108.66
84,92,4,84.1
90,84,3,79.48
83,85,5,89.82
61,91,7,91.2
69,59,6,78.07
81,92,8,102.95
85,77,1,65.82
98,46,8,90.5
65,81,1,62.74
71,74,2,64.73
65,50,1,47.15
56,43,5,56.67
70,51,8,79.99
50,43,7,66.8
47,97,3,71.49
94,89,1,80.2
57,50,6,64.31
96,68,7,92.39
52,84,2,65.0
54,38,2,43.44
93,54,7,88.66
51,46,7,66.13
59,66,3,61.38
70,90,2,71.78
94,48,4,73.72
41,54,6,61.01
50,76,5,67.91
97,100,6,101.17
76,74,3,70.53
81,90,1,74.96
78,82,8,96.82
63,49,2,51.63
69,75,6,80.06
81,94,6,95.84
52,72,2,58.16
47,72,3,57.3
89,100,2,83.22
84,73,5,81.8
42,57,5,61.23
70,45,6,69.81
89,48,6,81.51
55,98,5,80.61
98,45,7,82.32
56,36,1,40.09
45,37,6,56.74
97,61,8,93.87
48,69,2,51.9
90,89,3,82.41
77,78,8,93.49
76,36,1,50.71
89,89,4,88.51
53,93,7,87.96
87,37,5,71.98
41,88,7,77.88
96,85,4,86.43
95,54,1,63.77
41,71,7,74.35
62,84,7,86.37
64,89,5,82.34
54,92,5,76.64
80,38,5,69.45
49,53,1,45.13
63,46,3,54.09
50,65,3,55.66
77,80,4,77.39
40,87,8,80.5
48,57,8,75.61
91,56,2,67.17
86,99,2,80.71
47,86,6,76.82
80,72,8,95.49
97,43,6,78.0
67,96,2,75.65
98,80,1,74.3
81,92,2,79.99
70,90,1,65.03
54,81,6,76.83
100,93,7,106.27
82,57,5,73.31
78,59,2,63.05
47,46,3,51.95
57,75,2,62.13
44,90,1,56.14
93,35,6,76.65
40,53,8,68.92
71,87,8,92.66
91,41,3,62.25
88,48,6,77.71
79,64,1,62.37
46,61,1,43.93
89,55,6,82.87
63,54,3,61.29
70,54,8,83.85
67,54,7,75.07
60,90,3,73.31
90,38,2,59.21
83,44,1,56.81
100,79,6,93.89
63,56,4,64.67
49,77,4,64.46
69,38,6,67.26
72,62,2,62.03
58,65,1,55.33
57,89,1,60.94
96,43,8,89.79
49,79,2,58.16
55,70,6,76.49
49,51,5,61.39
76,49,2,60.28
96,90,6,99.7
82,94,7,97.21
80,59,4,69.12
84,61,6,79.45
56,92,5,79.34
42,74,1,52.51
78,78,5,82.67
99,86,4,89.35
89,54,5,79.47
96,44,3,67.67
96,55,1,63.07
92,82,3,81.78
79,56,8,86.35
90,59,4,76.83
94,43,6,81.54
54,58,3,55.7
97,71,3,79.73
94,57,2,66.76
72,69,7,86.01
74,85,6,89.07
57,87,2,66.35
92,35,6,77.26
73,41,6,67.22
79,68,2,64.32
98,45,2,67.22
96,81,5,91.64
63,79,7,84.13
78,43,5,70.94
43,35,6,52.81
44,55,7,68.92
47,90,8,86.1
96,96,6,103.31
84,53,8,87.88
80,48,6,72.29
89,60,6,81.69
83,46,2,61.76
60,63,1,54.24
74,53,4,64.18
76,77,5,81.69
53,78,4,69.09
83,48,1,58.24
43,49,4,54.37
47,42,7,66.03
41,73,2,55.58
60,39,1,42.75
40,41,1,39.28
79,79,8,95.62
70,95,6,87.58
40,41,3,46.47
92,40,6,74.46
100,98,5,98.08
75,73,8,88.42
53,47,1,43.18
90,60,2,68.84
46,65,1,51.18
49,48,6,63.77
54,55,2,54.34
48,35,3,47.05
80,90,5,89.32
48,56,6,66.06
86,44,5,72.66
81,67,3,70.97
91,95,5,96.1
98,67,6,92.13
86,37,3,62.39
43,58,1,43.4
95,62,7,89.7
82,69,4,78.11
96,83,6,94.17
84,49,7,80.04
67,94,2,70.29
83,89,5,86.32
81,71,3,71.89
72,84,7,92.92
88,44,2,62.08
95,89,7,98.89
69,51,4,63.74
73,75,1,62.71
44,40,4,50.67
96,38,4,68.03
44,61,2,52.33
46,74,8,82.27
54,78,1,55.41
91,51,6,79.78
95,75,7,97.44
79,90,4,83.33
58,65,6,73.46
60,100,1,70.59
100,72,3,81.11
84,98,7,98.85
83,87,4,83.88
55,48,6,64.76
41,55,5,60.63
42,64,8,73.05
57,49,1,43.48
72,87,4,80.74
63,96,8,95.94
68,99,1,68.87
73,42,5,67.38
88,81,3,81.72
67,99,4,82.03
83,51,3,66.81
44,58,5,61.9
42,68,8,74.82
76,62,1,59.84
50,52,7,67.97
77,50,7,75.92
77,98,5,88.54
48,40,3,49.65
49,53,5,60.29
68,81,7,87.55
88,84,4,82.82
59,45,1,45.34
50,73,7,78.37
55,73,1,56.35
93,42,3,66.94
55,47,1,45.37
66,90,7,92.73
96,39,2,61.67
55,72,7,79.44
72,99,3,79.55
84,37,6,72.06
68,75,4,74.89
72,92,5,86.49
57,94,3,75.09
70,73,1,59.39
75,85,1,66.09
48,68,7,74.67
75,69,1,60.41
70,56,4,67.8
72,42,7,74.34
76,72,3,72.17
84,83,5,87.92
